,income,food,member
0,480332,117848,4
1,198235,67766,3
2,82785,61609,6
3,107589,78189,3
4,189322,94625,4
5,152883,73326,4
6,198621,104644,5
7,134961,95644,5
8,171152,67348,2
9,625753,158721,6
10,147005,79530,4
11,253130,111250,7
12,101111,88523,7
13,128214,62262,3
14,91525,45487,2
15,171742,70892,4
16,95385,83790,5
17,142843,85370,8
18,88170,64705,4
19,97018,82534,5
20,123015,73459,4
21,100900,67830,4
22,153312,164860,6
23,96814,64696,5
24,91785,57112,3
25,83600,59819,3
26,84330,45509,2
27,164830,76151,3
28,87612,88484,6
29,96862,82647,6
30,65929,59898,2
31,114998,89896,6
32,217720,84335,2
33,98650,90927,4
34,169755,110405,5
35,143785,63907,5
36,105805,50424,2
37,129066,112070,6
38,154710,91008,4
39,203675,108043,6
40,186475,96915,4
41,104457,73997,4
42,119492,78073,6
43,304598,98445,4
44,824148,99064,2
45,169790,85448,5
46,132275,83528,4
47,559202,98107,5
48,111495,59255,2
49,977025,131485,6
50,272500,95406,5
51,677321,229370,10
52,205570,64202,2
53,350740,96601,3
54,206490,75031,3
55,113020,67121,3
56,740110,181926,7
57,281236,56971,2
58,100806,60160,3
59,410190,88966,6
60,730210,172404,4
61,113852,88017,7
62,132645,51139,2
63,301423,127743,8
64,143839,65989,4
65,301240,102906,5
66,117410,87743,5
67,152913,59310,2
68,86964,62023,2
69,226761,104427,4
70,153585,110631,6
71,96855,81985,5
72,264520,108109,4
73,241065,96505,4
74,121751,91575,7
75,135071,90942,4
76,239836,90669,3
77,67755,29066,1
78,148088,78662,4
79,255226,155045,7
80,175305,84355,4
81,98132,69946,3
82,144206,72478,2
83,125505,100518,5
84,67900,60543,4
85,84369,49085,2
86,121743,72244,4
87,166080,110462,7
88,372972,164802,5
89,300324,79540,2
90,168498,77667,6
91,68425,53517,2
92,151545,86841,3
93,138688,62562,2
94,96695,77461,4
95,379622,89011,2
96,147342,83950,5
97,174440,92792,6
98,223295,92989,2
99,106805,74452,3
100,101045,97535,7
101,101814,81093,4
102,109955,64116,3
103,391100,115092,3
104,111495,84215,8
105,160114,81805,6
106,145410,80552,4
107,166080,134812,12
108,149410,108269,7
109,123308,93550,8
110,280120,125385,6
111,117005,89572,8
112,114220,81598,5
113,298126,60346,3
114,485633,138744,5
115,92782,84402,4
116,136934,86715,6
117,50561,21156,1
118,109428,54897,3
119,133765,91565,6
120,128110,66834,2
121,111815,83929,6
122,92715,61157,2
123,146650,77453,4
124,293200,116176,3
125,179704,78527,3
126,152620,67808,4
127,72175,75561,3
128,105440,51361,4
129,130495,71274,4
130,130825,105283,7
131,77635,39704,2
132,111570,58107,3
133,121160,78639,4
134,96125,77282,5
135,379828,92768,6
136,146920,71753,8
137,214700,69690,4
138,239598,75131,3
139,69635,17781,1
140,116360,31647,1
141,181498,61150,4
142,148690,76530,3
143,129800,51564,3
144,163400,88741,6
145,72120,67218,4
146,259780,115255,6
147,104905,47168,4
148,63825,34183,2
149,120090,84796,7
150,301873,48761,4
151,116643,60154,4
152,183630,77020,5
153,115855,65344,8
154,164342,75244,5
155,155626,92403,9
156,65490,24028,1
157,125396,87336,10
158,145635,56417,4
159,188475,96122,7
160,107420,78178,6
161,116400,59311,4
162,164315,63163,4
163,491010,87892,4
164,113905,61535,6
165,62255,54527,5
166,98305,37688,4
167,117793,46384,7
