,income,food,member,Engel_co,level
0,480332,117848,4,0.2453469683468934,Prosperous
1,198235,67766,3,0.3418467979922819,Relatively prosperous
2,82785,61609,6,0.7442048680316482,Poor
3,107589,78189,3,0.7267378635362352,Poor
4,189322,94625,4,0.4998098477725779,Fairly well-off
5,152883,73326,4,0.47962167147426465,Fairly well-off
6,198621,104644,5,0.5268526490149581,Adequate food and clothing
7,134961,95644,5,0.708678803506198,Poor
8,171152,67348,2,0.3934981770589885,Relatively prosperous
9,625753,158721,6,0.2536480048837161,Prosperous
10,147005,79530,4,0.5410020067344649,Adequate food and clothing
11,253130,111250,7,0.43949749140757716,Fairly well-off
12,101111,88523,7,0.8755031598935823,Poor
13,128214,62262,3,0.48560999578829145,Fairly well-off
14,91525,45487,2,0.49698989347172906,Fairly well-off
15,171742,70892,4,0.4127819636431391,Fairly well-off
16,95385,83790,5,0.8784400062902972,Poor
17,142843,85370,8,0.5976491672675595,Adequate food and clothing
18,88170,64705,4,0.7338663944652376,Poor
19,97018,82534,5,0.8507081160197076,Poor
20,123015,73459,4,0.597154818518067,Adequate food and clothing
21,100900,67830,4,0.6722497522299307,Poor
22,153312,164860,6,1.0753235232728031,Poor
23,96814,64696,5,0.6682504596442663,Poor
24,91785,57112,3,0.6222367489241162,Poor
25,83600,59819,3,0.7155382775119618,Poor
26,84330,45509,2,0.5396537412545951,Adequate food and clothing
27,164830,76151,3,0.4619972092458897,Fairly well-off
28,87612,88484,6,1.009952974478382,Poor
29,96862,82647,6,0.8532448225310235,Poor
30,65929,59898,2,0.9085228048355048,Poor
31,114998,89896,6,0.7817179429207465,Poor
32,217720,84335,2,0.38735531875803786,Relatively prosperous
33,98650,90927,4,0.9217131272174354,Poor
34,169755,110405,5,0.6503784866425142,Poor
35,143785,63907,5,0.44446221789477347,Fairly well-off
36,105805,50424,2,0.4765748310571334,Fairly well-off
37,129066,112070,6,0.8683154355136132,Poor
38,154710,91008,4,0.5882489819662594,Adequate food and clothing
39,203675,108043,6,0.5304676568061863,Adequate food and clothing
40,186475,96915,4,0.5197211422442687,Adequate food and clothing
41,104457,73997,4,0.7083967565601157,Poor
42,119492,78073,6,0.6533742844709269,Poor
43,304598,98445,4,0.32319647535440155,Relatively prosperous
44,824148,99064,2,0.12020171134310828,Wealthy
45,169790,85448,5,0.5032569644855409,Adequate food and clothing
46,132275,83528,4,0.6314723114723114,Poor
47,559202,98107,5,0.17544107496039,Wealthy
48,111495,59255,2,0.5314588098120991,Adequate food and clothing
49,977025,131485,6,0.13457690437808653,Wealthy
50,272500,95406,5,0.3501137614678899,Relatively prosperous
51,677321,229370,10,0.33864297725893633,Relatively prosperous
52,205570,64202,2,0.3123121077978304,Relatively prosperous
53,350740,96601,3,0.2754205394309175,Prosperous
54,206490,75031,3,0.3633638432853891,Relatively prosperous
55,113020,67121,3,0.5938860378694036,Adequate food and clothing
56,740110,181926,7,0.2458094067098134,Prosperous
57,281236,56971,2,0.20257363922115235,Prosperous
58,100806,60160,3,0.5967898736186338,Adequate food and clothing
59,410190,88966,6,0.21688973402569542,Prosperous
60,730210,172404,4,0.23610194327659167,Prosperous
61,113852,88017,7,0.7730825984611601,Poor
62,132645,51139,2,0.3855328131478759,Relatively prosperous
63,301423,127743,8,0.42379977639397126,Fairly well-off
64,143839,65989,4,0.4587698746515201,Fairly well-off
65,301240,102906,5,0.3416080201832426,Relatively prosperous
66,117410,87743,5,0.7473213525253386,Poor
67,152913,59310,2,0.3878676109944871,Relatively prosperous
68,86964,62023,2,0.7132031645278506,Poor
69,226761,104427,4,0.46051569714368873,Fairly well-off
70,153585,110631,6,0.7203242504150796,Poor
71,96855,81985,5,0.8464715296061123,Poor
72,264520,108109,4,0.408698775139876,Fairly well-off
73,241065,96505,4,0.40032771244270215,Fairly well-off
74,121751,91575,7,0.7521498796724462,Poor
75,135071,90942,4,0.6732903435970712,Poor
76,239836,90669,3,0.37804583131806735,Relatively prosperous
77,67755,29066,1,0.42898679064275697,Fairly well-off
78,148088,78662,4,0.5311841607692723,Adequate food and clothing
79,255226,155045,7,0.6074812127291107,Poor
80,175305,84355,4,0.48118992612874706,Fairly well-off
81,98132,69946,3,0.7127746300900828,Poor
82,144206,72478,2,0.5026004465833599,Adequate food and clothing
83,125505,100518,5,0.8009083303454045,Poor
84,67900,60543,4,0.8916494845360825,Poor
85,84369,49085,2,0.5817895198473373,Adequate food and clothing
86,121743,72244,4,0.5934139950551571,Adequate food and clothing
87,166080,110462,7,0.6651131984585742,Poor
88,372972,164802,5,0.44186158746501075,Fairly well-off
89,300324,79540,2,0.264847298251222,Prosperous
90,168498,77667,6,0.46093722180678703,Fairly well-off
91,68425,53517,2,0.7821264157837048,Poor
92,151545,86841,3,0.5730377115708205,Adequate food and clothing
93,138688,62562,2,0.45109886940470695,Fairly well-off
94,96695,77461,4,0.8010858886188531,Poor
95,379622,89011,2,0.23447271232963315,Prosperous
96,147342,83950,5,0.5697628646278726,Adequate food and clothing
97,174440,92792,6,0.5319422150882825,Adequate food and clothing
98,223295,92989,2,0.41644013524709467,Fairly well-off
99,106805,74452,3,0.6970834698750058,Poor
100,101045,97535,7,0.9652630016329358,Poor
101,101814,81093,4,0.7964818197890271,Poor
102,109955,64116,3,0.5831112727934155,Adequate food and clothing
103,391100,115092,3,0.29427767834313473,Prosperous
104,111495,84215,8,0.755325350912597,Poor
105,160114,81805,6,0.5109172214796958,Adequate food and clothing
106,145410,80552,4,0.5539646516745753,Adequate food and clothing
108,149410,108269,7,0.724643598152734,Poor
109,123308,93550,8,0.7586693482985695,Poor
